ID,p_val,log2FC,pct.1,pct.2,Pvalue,,,,
Cables1,5.52E-09,0.127385689,0.042,0.009,0.00012205,,,,
Krit1,4.82E-08,0.127376527,0.758,0.683,0.001066186,,,,
Emb,0.012639022,0.127217278,0.974,0.963,1,,,,
Pip4p1,0.000190294,0.127185959,0.249,0.197,1,,,,
Usp4,2.76E-05,0.127181772,0.831,0.789,0.610321611,,,,
Ap1b1,0.002289433,0.127174997,0.842,0.809,1,,,,
Fam91a1,8.25E-07,0.127102154,0.871,0.809,0.018236392,,,,
Kansl3,4.75E-13,0.127084509,0.813,0.702,1.05E-08,,,,
Ddx6,2.10E-05,0.126811389,0.996,0.994,0.465191586,,,,
Dtx3l,0.028290138,0.126703143,0.167,0.144,1,,,,
Lcorl,1.26E-06,0.126616475,0.982,0.977,0.027757351,,,,
Sbf2,2.02E-12,0.126432403,0.999,0.991,4.46E-08,,,,
Mkln1,2.44E-05,0.126429877,0.998,0.993,0.540405999,,,,
Rbbp8,0.001290264,0.126393243,0.482,0.434,1,,,,
Clk4,4.18E-06,0.12632291,0.946,0.916,0.092348908,,,,
Gm33370,1.14E-06,0.126293009,0.054,0.022,0.025204958,,,,
Cept1,0.002593077,0.126267665,0.206,0.168,1,,,,
Ubl3,0.001066854,0.126145425,1,0.999,1,,,,
Plaa,8.06E-07,0.126002516,0.922,0.889,0.017815352,,,,
Akap7,0.00016989,0.125944543,0.896,0.881,1,,,,
Gm26510,0.000408031,0.125884188,0.073,0.046,1,,,,
Tmem243,0.002221562,0.125835845,0.136,0.104,1,,,,
Tns3,1.53E-09,0.125746283,0.703,0.541,3.39E-05,,,,
Ctnnd2,4.40E-05,0.125715816,0.027,0.008,0.971980402,,,,
Gpatch2l,0.003941711,0.125604957,0.155,0.125,1,,,,
Ints12,0.003100493,0.125528316,0.109,0.082,1,,,,
AI662270,0.000108383,0.125412958,0.978,0.977,1,,,,
Gm21860,1.10E-09,0.125390316,0.025,0,2.42E-05,,,,
Mettl9,8.29E-09,0.125265784,0.994,0.989,0.000183346,,,,
Dhx34,0.003771103,0.1252557,0.113,0.086,1,,,,
Zswim8,3.70E-10,0.125152459,0.334,0.232,8.17E-06,,,,
Psd4,0.00256116,0.125138391,0.145,0.113,1,,,,
Psen1,0.000279851,0.125119868,0.969,0.964,1,,,,
Fbxo28,0.000118588,0.124926243,0.665,0.619,1,,,,
Lpin1,0.000273296,0.124922241,0.074,0.046,1,,,,
Nfrkb,1.51E-07,0.124626572,0.196,0.129,0.003336411,,,,
Esr1,0.003008603,0.124606331,0.067,0.045,1,,,,
Ski,0.001285452,0.124549762,0.982,0.981,1,,,,
Gm44649,0.001507775,0.12453018,0.067,0.044,1,,,,
Atg4c,0.032099973,0.124502554,0.149,0.128,1,,,,
4632427E13Rik,0.015090008,0.124491637,0.174,0.148,1,,,,
Srsf7,0.002785729,0.12446124,0.998,0.996,1,,,,
Hcar2,0.012576403,0.124424546,0.125,0.1,1,,,,
Mia2,0.000177328,0.124411336,0.975,0.972,1,,,,
Max,2.14E-06,0.124343037,0.97,0.962,0.04721854,,,,
Ccdc50,3.10E-11,0.124089825,0.989,0.985,6.85E-07,,,,
Atp1a3,0.002290603,0.123969302,0.107,0.079,1,,,,
Oga,6.63E-08,0.12394615,0.987,0.991,0.001466337,,,,
Glud1,0.054356596,0.123806957,0.982,0.985,1,,,,
Klf3,3.80E-05,0.12378323,0.883,0.825,0.840641123,,,,
Tmem248,0.000355737,0.123713358,0.961,0.959,1,,,,
Ist1,0.001710335,0.123711725,0.963,0.966,1,,,,
Gtpbp1,0.028863446,0.123686032,0.121,0.101,1,,,,
Ankrd55,1.77E-05,0.123652941,0.048,0.021,0.391262138,,,,
Map2k1,5.40E-05,0.123631835,0.973,0.96,1,,,,
Tmem156,1.29E-06,0.123611627,0.041,0.013,0.028613449,,,,
Mtor,0.000873488,0.123585317,0.122,0.089,1,,,,
Fnip2,5.66E-06,0.123580351,0.999,0.993,0.125121833,,,,
Mettl6,0.042556987,0.123464241,0.166,0.145,1,,,,
Parp12,0.013366862,0.123374116,0.318,0.283,1,,,,
Lrp1,0.012994952,0.123219326,0.606,0.587,1,,,,
Snx6,0.072370319,0.123150108,1,0.999,1,,,,
Api5,0.017613794,0.123117307,0.977,0.979,1,,,,
Gch1,0.127400841,0.123091241,0.293,0.277,1,,,,
Gm15943,9.34E-05,0.123084607,0.063,0.035,1,,,,
Wwc1,0.003712953,0.123044652,0.051,0.032,1,,,,
D730003I15Rik,0.007379458,0.123034019,0.122,0.097,1,,,,
Vamp4,0.000121613,0.122798559,0.931,0.901,1,,,,
Usp47,4.94E-05,0.122728331,0.984,0.983,1,,,,
Ece1,8.13E-05,0.12256077,0.053,0.027,1,,,,
Scmh1,3.49E-07,0.122400501,0.735,0.659,0.007721177,,,,
P4ha2,3.36E-13,0.122322954,0.914,0.833,7.43E-09,,,,
Pdcl3,6.05E-18,0.122288061,0.879,0.74,1.34E-13,,,,
Thap12,7.45E-08,0.122275566,0.687,0.609,0.001647264,,,,
Nol10,0.004215687,0.122163639,0.331,0.295,1,,,,
Prtn3,1.56E-09,0.122067451,0.046,0.011,3.45E-05,,,,
Ccn1,5.28E-22,0.121952675,0.901,0.779,1.17E-17,,,,
Gtf2a1,2.05E-08,0.121932448,0.427,0.317,0.000453505,,,,
Tnip2,0.001404082,0.121873297,0.137,0.104,1,,,,
Cndp2,3.46E-05,0.121868959,0.958,0.863,0.765681853,,,,
Gna12,6.62E-05,0.121817843,0.272,0.211,1,,,,
Ubap1,4.50E-07,0.121764996,0.923,0.857,0.009961756,,,,
Atf1,0.000548325,0.12167106,0.952,0.939,1,,,,
Smu1,5.86E-11,0.121640607,0.853,0.759,1.30E-06,,,,
Dse,0.009820529,0.121586612,0.234,0.203,1,,,,
Huwe1,0.000163277,0.121467946,0.987,0.985,1,,,,
Tnfsf12,0.033138409,0.121432128,0.188,0.165,1,,,,
Hscb,3.43E-20,0.121343715,0.643,0.456,7.59E-16,,,,
Pdcd2l,1.18E-08,0.121282978,0.239,0.16,0.000261584,,,,
Myc,0.000142387,0.121252637,0.069,0.041,1,,,,
Tgtp2,7.73E-07,0.121178165,0.04,0.013,0.017095322,,,,
Yy1,2.17E-07,0.121104178,0.998,0.997,0.004799859,,,,
Hccs,0.007221751,0.120995316,0.106,0.081,1,,,,
1700025G04Rik,7.24E-06,0.120970712,0.604,0.536,0.160054411,,,,
Atp6v1h,0.000275188,0.120938089,0.959,0.923,1,,,,
Apobr,0.047235289,0.120847678,0.14,0.121,1,,,,
Prep,0.028138122,0.120790841,0.199,0.175,1,,,,
Ap1s3,0.000134401,0.120707489,0.045,0.022,1,,,,
Tmem71,0.000976514,0.120705338,0.061,0.038,1,,,,
Usp7,2.69E-05,0.120671509,0.973,0.977,0.595935595,,,,
Id2,0.344801429,0.120587236,0.998,0.997,1,,,,
Gtpbp2,0.115860551,0.120559785,0.096,0.084,1,,,,
Syncrip,7.80E-05,0.120455656,0.996,0.997,1,,,,
Tlr7,0.086336575,0.12027318,0.195,0.176,1,,,,
Sun2,0.000678318,0.1202135,0.161,0.123,1,,,,
Rbm26,0.000147068,0.12020821,0.97,0.956,1,,,,
Gipc2,1.97E-05,0.12000935,0.04,0.016,0.435093492,,,,
Rbm25,0.002440963,0.119977019,1,1,1,,,,
Cxcl10,2.95E-13,0.119919861,0.726,0.904,6.51E-09,,,,
Pdcd6ip,0.000314418,0.119712607,0.982,0.974,1,,,,
Galnt10,0.001435546,0.11964467,0.108,0.078,1,,,,
Ttc14,0.000877268,0.119535875,0.97,0.967,1,,,,
H2-Q4,0.047905976,0.119526744,0.261,0.238,1,,,,
Lrch3,8.66E-05,0.119496203,0.976,0.964,1,,,,
Pank3,4.13E-23,0.119389423,0.402,0.229,9.14E-19,,,,
Camsap2,1.05E-14,0.119309349,0.562,0.419,2.31E-10,,,,
Hist1h2ab,0.111570403,0.119231851,0.035,0.026,1,,,,
4930402H24Rik,4.59E-07,0.119198476,0.934,0.874,0.01014484,,,,
Zbtb21,0.016464903,0.119180067,0.101,0.08,1,,,,
Fbxo38,0.000702395,0.119068122,0.613,0.568,1,,,,
Tagap,8.11E-05,0.11906065,0.099,0.062,1,,,,
B430306N03Rik,0.00098406,0.118891814,0.124,0.09,1,,,,
Cln8,0.047088123,0.118881703,0.254,0.234,1,,,,
Cap1,1.40E-07,0.118863417,0.941,0.872,0.003106258,,,,
Pan3,2.14E-06,0.118618459,0.988,0.976,0.047338314,,,,
Hacd2,2.80E-10,0.118583875,0.873,0.809,6.19E-06,,,,
Rev3l,7.78E-05,0.118468945,0.973,0.971,1,,,,
Gm46212,5.79E-08,0.118317712,0.031,0.005,0.001279252,,,,
Kif13b,0.000260974,0.118303315,0.628,0.54,1,,,,
Nrbf2,1.76E-09,0.118300338,0.73,0.638,3.89E-05,,,,
Atr,0.135516013,0.118288682,0.087,0.074,1,,,,
Fbrsl1,0.021903798,0.118026164,0.194,0.167,1,,,,
Cbl,0.000282496,0.117975233,0.953,0.894,1,,,,
Csnk1d,1.62E-08,0.117773314,0.991,0.992,0.000357161,,,,
Simc1,0.130375244,0.117747416,0.095,0.081,1,,,,
Kif21b,3.28E-10,0.117741015,0.917,0.834,7.24E-06,,,,
Mtpn,0.009678835,0.117691004,1,0.999,1,,,,
Ppp4r3b,0.000358333,0.117690005,0.963,0.96,1,,,,
Micall1,0.020084809,0.11758741,0.094,0.074,1,,,,
Fam135a,3.05E-23,0.117569616,0.729,0.561,6.74E-19,,,,
Mbd5,0.003673687,0.11751798,0.964,0.961,1,,,,
Hnrnpk,0.00013895,0.117337021,1,1,1,,,,
Ctdp1,0.009210626,0.117309318,0.145,0.118,1,,,,
Csf2rb2,0.037860113,0.11724787,0.169,0.146,1,,,,
Btg3,5.26E-05,0.117208075,0.975,0.979,1,,,,
mt-Nd5,0.000327051,0.117167583,1,1,1,,,,
Fam160b1,1.58E-06,0.117086293,0.16,0.103,0.034991795,,,,
Nus1,0.001413985,0.117064734,0.977,0.964,1,,,,
Ebf1,0.19575218,0.116998117,0.019,0.014,1,,,,
Gm10552,2.56E-06,0.116911705,0.045,0.017,0.05665202,,,,
Gpt2,0.001221366,0.116814418,0.078,0.052,1,,,,
Csde1,2.68E-06,0.116810752,0.999,0.999,0.059253889,,,,
4930556M19Rik,0.000531159,0.116680978,0.049,0.028,1,,,,
Yeats2,1.81E-11,0.116665985,0.459,0.34,4.01E-07,,,,
Tspan31,2.64E-06,0.116656163,0.945,0.926,0.058353376,,,,
Plekhb2,9.15E-06,0.116599709,0.595,0.512,0.202257699,,,,
Copa,3.03E-07,0.116560584,0.991,0.988,0.006707182,,,,
Anapc10,9.08E-07,0.116542619,0.523,0.434,0.020079864,,,,
Pwwp2a,9.61E-05,0.116536249,0.143,0.101,1,,,,
Exoc1,1.79E-05,0.116501996,0.225,0.167,0.394967509,,,,
Stam2,0.000701204,0.116474492,0.979,0.977,1,,,,
Desi2,1.56E-05,0.11630998,0.981,0.979,0.345053476,,,,
Aprt,0.022606774,0.116226029,1,0.999,1,,,,
Nob1,3.31E-05,0.116077716,0.348,0.287,0.732106303,,,,
Nsun2,1.50E-16,0.116076187,0.984,0.981,3.31E-12,,,,
Secisbp2l,0.021136718,0.115958936,0.681,0.669,1,,,,
Rad23b,1.39E-12,0.115800063,0.989,0.981,3.07E-08,,,,
Blnk,0.106530507,0.115734282,0.179,0.162,1,,,,
Tmem164,1.10E-05,0.115725668,0.929,0.856,0.243976709,,,,
Enah,4.65E-16,0.11566015,0.986,0.977,1.03E-11,,,,
Ipo11,2.08E-13,0.115597959,0.486,0.354,4.59E-09,,,,
Apaf1,1.41E-13,0.115565407,0.694,0.54,3.11E-09,,,,
Cebpg,0.014728289,0.115549495,0.853,0.866,1,,,,
Eif2s3x,2.83E-10,0.115438697,0.921,0.86,6.25E-06,,,,
Rab7,0.000301856,0.11538054,1,1,1,,,,
Irgm1,0.011418805,0.115340904,0.093,0.071,1,,,,
Bzw2,0.01138725,0.115215348,0.988,0.985,1,,,,
Treml2,6.28E-05,0.11508679,0.07,0.039,1,,,,
Kcnn4,0.096210068,0.114998784,0.196,0.179,1,,,,
Phf20l1,0.050243374,0.114891372,0.996,0.993,1,,,,
Naip2,0.447067081,0.11489088,0.163,0.158,1,,,,
Creld2,0.239954445,0.114731492,0.919,0.95,1,,,,
Tab2,0.001118187,0.114657585,0.971,0.96,1,,,,
Arf6,0.000579128,0.114633411,0.932,0.934,1,,,,
Gm30198,0.000152318,0.114571297,0.055,0.03,1,,,,
Supt20,9.95E-11,0.114490214,0.843,0.748,2.20E-06,,,,
Spdl1,0.104411487,0.114486394,0.102,0.087,1,,,,
Lactb2,8.73E-10,0.11446645,0.198,0.117,1.93E-05,,,,
Hprt,2.03E-13,0.114463504,0.99,0.983,4.49E-09,,,,
Sec22b,4.02E-05,0.114436339,0.946,0.917,0.889053921,,,,
Chp1,0.069375581,0.114351876,0.707,0.715,1,,,,
Gls,9.38E-05,0.114326706,0.996,0.994,1,,,,
Crybg1,0.038764275,0.114267619,0.154,0.132,1,,,,
Disc1,0.012914189,0.114196151,0.142,0.115,1,,,,
Fam174a,0.38154961,0.114073394,0.178,0.171,1,,,,
Spsb4,0.006836872,0.114057849,0.125,0.098,1,,,,
Prmt3,2.68E-05,0.114048457,0.641,0.58,0.593547724,,,,
Ifnb1,1.10E-07,0.114006007,0.019,0,0.002423039,,,,
Mob4,0.000241611,0.11394833,0.993,0.987,1,,,,
Nars2,0.017719283,0.113852996,0.103,0.082,1,,,,
Mllt3,0.000384271,0.11378542,0.804,0.769,1,,,,
Hectd4,7.42E-07,0.113723766,0.163,0.105,0.016407097,,,,
Prpf38b,0.000852991,0.113671623,0.996,0.994,1,,,,
Coq5,4.75E-05,0.113669637,0.591,0.53,1,,,,
Fancc,0.035350948,0.113587945,0.086,0.068,1,,,,
Srgap3,3.72E-05,0.113519751,0.03,0.01,0.822597943,,,,
Riok2,0.032405136,0.113246737,0.104,0.085,1,,,,
Igfbp6,0.000343507,0.113240117,0.061,0.036,1,,,,
Comt,1.41E-05,0.113221427,0.988,0.977,0.312893556,,,,
Xpo4,7.12E-05,0.113092996,0.17,0.123,1,,,,
Tspo,0.192783494,0.113090505,1,1,1,,,,
Blm,0.014512457,0.113026405,0.115,0.091,1,,,,
Zfp277,0.001679683,0.113003842,0.2,0.16,1,,,,
Maf,0.226017214,0.11297885,0.998,0.999,1,,,,
Pxk,0.069605978,0.112897244,0.292,0.274,1,,,,
Numb,0.001910323,0.112867466,0.98,0.971,1,,,,
Pias2,5.82E-05,0.112715998,0.71,0.663,1,,,,
Prdm2,0.00042331,0.112672421,0.922,0.877,1,,,,
Xrcc4,0.002332743,0.112665798,0.398,0.354,1,,,,
Tlk2,4.14E-07,0.112421351,0.988,0.979,0.009147024,,,,
Tarm1,0.02710256,0.112417183,0.169,0.144,1,,,,
Net1,0.000805442,0.11226427,0.057,0.034,1,,,,
Ramac,1.70E-13,0.112185411,0.9,0.794,3.76E-09,,,,
Gpr146,0.019917352,0.112121891,0.115,0.094,1,,,,
Srsf2,0.001383048,0.112078334,0.999,0.999,1,,,,
Cyth3,1.62E-05,0.111993595,0.824,0.754,0.35812519,,,,
Apbb2,0.00035976,0.111772499,0.878,0.854,1,,,,
Memo1,4.11E-06,0.111691554,0.868,0.807,0.090945998,,,,
Rsf1,1.31E-09,0.111628843,0.99,0.986,2.90E-05,,,,
Rac1,0.001732177,0.111612081,1,1,1,,,,
Rnase6,9.67E-07,0.111575232,0.058,0.024,0.021387696,,,,
Synj2,0.025689862,0.111531278,0.129,0.108,1,,,,
Nbas,0.003780048,0.111300463,0.658,0.636,1,,,,
Spopl,0.017093521,0.111219897,0.118,0.095,1,,,,
Mgrn1,2.00E-08,0.111218396,0.866,0.783,0.00044192,,,,
Lrba,3.69E-08,0.111193119,0.841,0.763,0.000816013,,,,
Eif2ak3,3.55E-09,0.111186117,0.452,0.348,7.85E-05,,,,
Micu1,0.000276597,0.111181318,0.701,0.658,1,,,,
Slc30a9,3.13E-05,0.111121499,0.944,0.907,0.693013481,,,,
Chic2,0.002097745,0.111101664,0.978,0.97,1,,,,
Dram2,0.010366248,0.111086419,0.178,0.148,1,,,,
Hspg2,1.96E-15,0.111084952,0.226,0.121,4.33E-11,,,,
Pdk1,1.74E-06,0.111084559,0.954,0.91,0.038438938,,,,
Phykpl,9.01E-08,0.110936548,0.152,0.092,0.00199253,,,,
4933406I18Rik,1.78E-06,0.110920158,0.028,0.006,0.039318789,,,,
Tmed2,4.26E-05,0.110908458,0.996,0.996,0.941456678,,,,
Gid4,1.38E-10,0.110869165,0.312,0.21,3.06E-06,,,,
Epc2,1.79E-05,0.110861548,0.892,0.848,0.395808103,,,,
Psmb7,1.92E-06,0.11083765,0.998,0.997,0.042365629,,,,
Zfp91,0.001786096,0.110795204,0.999,0.998,1,,,,
Parp11,0.010932628,0.110642211,0.108,0.084,1,,,,
Edn1,0.047979251,0.110545742,0.039,0.028,1,,,,
Qrich1,4.39E-05,0.110535716,0.954,0.934,0.970423778,,,,
7-Sep,0.00014087,0.110491215,1,0.999,1,,,,
5730455P16Rik,4.24E-09,0.11041184,0.119,0.062,9.38E-05,,,,
Ak2,0.007401926,0.110369816,0.998,0.997,1,,,,
Lsm14b,9.40E-08,0.110307543,0.389,0.303,0.00207829,,,,
Helz,2.22E-07,0.110269898,0.91,0.867,0.004912898,,,,
Mfn1,1.81E-05,0.110201173,0.468,0.404,0.400460266,,,,
Atg12,0.000725672,0.110196884,0.835,0.802,1,,,,
Rsbn1l,3.00E-05,0.110160288,0.979,0.964,0.663775362,,,,
Sgpl1,0.004322074,0.110145599,0.974,0.95,1,,,,
Rnf111,0.000205249,0.110051907,0.901,0.852,1,,,,
Ammecr1l,5.81E-09,0.109983006,0.774,0.683,0.000128559,,,,
Ifitm1,0.987994285,0.109953451,0.093,0.093,1,,,,
Atp2a2,0.01301053,0.109942644,0.997,0.998,1,,,,
Gm49336,0.061033488,0.109918701,0.132,0.114,1,,,,
Xrn2,0.002177705,0.109892036,0.996,0.994,1,,,,
Ip6k1,1.46E-06,0.109872109,0.879,0.817,0.03227072,,,,
Gpbp1,1.06E-06,0.10984868,0.981,0.98,0.023333953,,,,
Vps8,0.000117244,0.109720873,0.832,0.783,1,,,,
AU020206,8.01E-08,0.109676046,0.781,0.703,0.001771589,,,,
Heca,0.068026297,0.109607163,0.188,0.168,1,,,,
Cyld,0.001803815,0.109577145,0.191,0.152,1,,,,
Lyn,0.003747591,0.109489957,0.802,0.754,1,,,,
Nlrp1b,0.000974593,0.109397968,0.117,0.084,1,,,,
Tgfbr1,3.75E-08,0.109365044,0.668,0.534,0.00082815,,,,
Dcaf12,4.53E-06,0.109347755,0.504,0.418,0.100139645,,,,
Sec16a,2.89E-06,0.109158312,0.436,0.353,0.063839399,,,,
Scp2,0.00571419,0.109113472,0.987,0.981,1,,,,
Tnfrsf26,0.000111594,0.108943377,0.064,0.036,1,,,,
Rnf115,0.003683936,0.108928776,0.961,0.956,1,,,,
Zfp462,2.78E-15,0.108919733,0.766,0.642,6.15E-11,,,,
Angptl2,5.80E-10,0.108875956,0.426,0.323,1.28E-05,,,,
Rabgef1,3.61E-08,0.108875956,0.961,0.909,0.000797557,,,,
Hspbap1,4.92E-05,0.108875956,0.07,0.039,1,,,,
Calm2,0.002150587,0.108822496,1,1,1,,,,
Mpp6,0.000446434,0.108785286,0.995,0.987,1,,,,
Atg7,0.00120823,0.10870969,0.864,0.817,1,,,,
Ppp4r3a,2.46E-05,0.108697191,0.976,0.964,0.542929036,,,,
Otud5,1.18E-05,0.108676792,0.316,0.248,0.260383882,,,,
Matn2,0.001157753,0.10865933,0.034,0.017,1,,,,
Gabpa,0.015087132,0.108623715,0.099,0.078,1,,,,
Ambra1,1.92E-06,0.108539171,0.995,0.99,0.042566687,,,,
Slc25a12,1.22E-06,0.10845056,0.848,0.788,0.027083273,,,,
4933411E08Rik,0.000659335,0.108447687,0.033,0.015,1,,,,
Ddx42,1.43E-06,0.108410858,0.986,0.983,0.031587783,,,,
Hmga2,1.55E-12,0.10839203,0.707,0.593,3.44E-08,,,,
Rnase4,0.175067483,0.108293424,0.154,0.141,1,,,,
Itgb1,0.007539195,0.108283081,1,1,1,,,,
Sbno2,0.094673353,0.108271053,0.255,0.236,1,,,,
Stard8,0.041729337,0.108265059,0.102,0.084,1,,,,
Mtmr12,0.065323096,0.108258352,0.142,0.123,1,,,,
Fam76b,1.79E-06,0.108137291,0.614,0.539,0.039563771,,,,
Lpgat1,4.03E-06,0.107981608,0.803,0.739,0.089009726,,,,
Il21r,0.000338492,0.107974403,0.109,0.074,1,,,,
Rnf19a,2.00E-05,0.107960631,0.973,0.962,0.44296882,,,,
Prdm4,0.001949305,0.107845484,0.064,0.042,1,,,,
Nrf1,0.006169041,0.10775831,0.953,0.953,1,,,,
Ndel1,0.000941444,0.107734358,0.987,0.975,1,,,,
Cgas,0.000920356,0.107688553,0.076,0.05,1,,,,
Opa1,5.95E-11,0.107668775,0.836,0.738,1.32E-06,,,,
Casp6,0.01652316,0.107637538,0.109,0.087,1,,,,
Tlnrd1,0.021426225,0.107589941,0.118,0.097,1,,,,
Zcchc24,0.017141085,0.107443692,0.101,0.08,1,,,,
Ccdc141,2.00E-19,0.107399886,0.862,0.732,4.42E-15,,,,
Mitf,0.159957199,0.107370839,1,1,1,,,,
Safb2,0.000287859,0.107308438,0.981,0.976,1,,,,
Cmtr1,6.11E-08,0.107197753,0.672,0.571,0.001352072,,,,
Atad2b,8.37E-07,0.10718349,0.981,0.974,0.01851591,,,,
Brwd3,0.000584429,0.107148761,0.949,0.948,1,,,,
Tnfaip3,0.39924334,0.107124168,0.635,0.66,1,,,,
Usp22,3.05E-06,0.10711991,0.927,0.89,0.067403611,,,,
Hist2h2ac,0.038483171,0.107084901,0.081,0.104,1,,,,
Slf2,0.001423628,0.106967882,0.166,0.129,1,,,,
Setd4,0.000232775,0.106900175,0.068,0.04,1,,,,
Cstf3,0.005334603,0.106849307,0.951,0.954,1,,,,
Fbxo47,0.003467225,0.106828854,0.019,0.007,1,,,,
Bdp1,4.12E-05,0.106816434,0.95,0.928,0.909967729,,,,
Art3,0.03267117,0.106812998,0.055,0.04,1,,,,
Pacsin2,0.001530539,0.106776239,0.977,0.965,1,,,,
Fry,0.049115054,0.106752287,0.183,0.16,1,,,,
Rrp12,0.000872069,0.10668216,0.069,0.044,1,,,,
Clip1,9.67E-05,0.106664243,0.88,0.827,1,,,,
F5,0.000122435,0.106509765,0.029,0.011,1,,,,
Sgpp1,0.016067081,0.106404882,0.1,0.079,1,,,,
Lats1,8.08E-11,0.106295298,0.257,0.16,1.79E-06,,,,
Pqlc1,0.008179104,0.106229769,0.113,0.089,1,,,,
Nrg2,3.87E-06,0.106104347,0.031,0.009,0.085645232,,,,
Cd2ap,7.64E-08,0.106067719,0.981,0.972,0.001688348,,,,
Ube2j1,0.006431642,0.106047004,0.959,0.962,1,,,,
Abca9,5.60E-05,0.105973077,0.041,0.017,1,,,,
Epsti1,0.249730514,0.105831881,0.379,0.374,1,,,,
Tln1,0.000903477,0.105820714,0.998,0.997,1,,,,
Nfatc3,0.000179657,0.10558023,0.878,0.842,1,,,,
Uba3,4.04E-09,0.105565598,0.75,0.664,8.93E-05,,,,
Ppp1r12b,0.017246782,0.105516599,0.189,0.16,1,,,,
A930006K02Rik,0.000450971,0.105496803,0.055,0.031,1,,,,
Adar,0.001825267,0.105469964,0.218,0.177,1,,,,
Casp3,0.225461923,0.105363521,0.333,0.328,1,,,,
Fam204a,8.00E-10,0.105327506,0.906,0.842,1.77E-05,,,,
Pdpk1,1.37E-07,0.105292743,0.761,0.665,0.003039765,,,,
Tfg,3.29E-07,0.105289837,0.986,0.987,0.007271367,,,,
Stard3,0.029867881,0.105266776,0.131,0.109,1,,,,
Ppie,5.03E-10,0.105187141,0.272,0.18,1.11E-05,,,,
Fubp1,0.008090031,0.105042186,0.997,0.996,1,,,,
Pcmtd1,9.13E-05,0.105039716,0.952,0.939,1,,,,
Rttn,0.002604376,0.105034948,0.076,0.052,1,,,,
Capg,0.027941304,0.105011408,1,0.999,1,,,,
Cep152,0.000487556,0.104914139,0.088,0.058,1,,,,
Tnfsf13,0.041890553,0.104903457,0.189,0.166,1,,,,
Ramp1,6.47E-06,0.104884906,0.053,0.023,0.143058297,,,,
11-Sep,0.000275288,0.10488063,0.974,0.963,1,,,,
Gm15886,0.000468158,0.10486573,0.058,0.034,1,,,,
Ilf2,2.90E-06,0.104842309,0.974,0.972,0.064031588,,,,
Arl8b,0.019062041,0.104813316,0.997,0.996,1,,,,
Ing3,0.022952464,0.104813122,0.648,0.635,1,,,,
Crim1,1.21E-10,0.104695043,0.178,0.1,2.68E-06,,,,
Tmem203,3.32E-07,0.104645083,0.131,0.077,0.007348065,,,,
Pced1b,0.000114844,0.104601301,0.06,0.033,1,,,,
Virma,0.000625337,0.104588598,0.402,0.349,1,,,,
Lypla1,0.005329997,0.104554613,0.305,0.266,1,,,,
Pi4kb,0.006967837,0.104494966,0.125,0.098,1,,,,
Apc,0.001273388,0.104403114,0.954,0.948,1,,,,
Ammecr1,0.040934569,0.104357647,0.085,0.068,1,,,,
Lrpap1,0.000538159,0.104281458,0.988,0.983,1,,,,
Dusp3,5.86E-06,0.104212232,0.99,0.988,0.129620522,,,,
Gm11084,0.002784401,0.104155194,0.097,0.07,1,,,,
Myd88,0.026165589,0.104120767,0.15,0.127,1,,,,
Efl1,0.000106707,0.104067839,0.285,0.226,1,,,,
Ube2o,1.32E-15,0.104017912,0.792,0.647,2.91E-11,,,,
Tbl1x,1.07E-05,0.103940497,0.991,0.989,0.237397145,,,,
Ostc,0.005816249,0.103902395,0.994,0.994,1,,,,
Rhot1,4.10E-11,0.10379773,0.493,0.37,9.08E-07,,,,
Enox2,1.96E-06,0.103775085,0.578,0.477,0.043385592,,,,
Fastk,2.92E-09,0.103732653,0.631,0.528,6.46E-05,,,,
U2surp,2.91E-05,0.103616236,0.998,0.997,0.644362436,,,,
Vps37b,0.064184492,0.103583169,0.741,0.729,1,,,,
Myo1c,0.002605324,0.10350826,0.807,0.775,1,,,,
St6galnac3,2.39E-08,0.103455515,0.726,0.642,0.000528548,,,,
Gm36723,0.000580433,0.103417181,0.03,0.013,1,,,,
Creb1,3.73E-06,0.103371895,0.911,0.86,0.082441055,,,,
Psmd14,0.000286936,0.103283415,0.998,0.995,1,,,,
Gse1,5.08E-05,0.103269339,0.882,0.84,1,,,,
Cerk,0.068845203,0.103233291,0.979,0.968,1,,,,
Gnl1,8.93E-06,0.103195292,0.785,0.732,0.197366374,,,,
Fam168a,0.001906669,0.103156783,0.948,0.922,1,,,,
Gpr137b,2.87E-10,0.103142505,0.997,0.994,6.34E-06,,,,
Nceh1,0.098233675,0.103095069,0.996,0.993,1,,,,
Luzp1,0.002978402,0.103062537,0.994,0.991,1,,,,
Gpr160,1.22E-05,0.102983942,0.062,0.03,0.269761915,,,,
Gm39469,0.028856487,0.10297133,0.073,0.056,1,,,,
Tax1bp1,0.017252354,0.102962229,1,1,1,,,,
Mafg,1.16E-05,0.102880809,0.982,0.976,0.256200416,,,,
Tmem43,0.08875304,0.102859679,0.106,0.091,1,,,,
Hist1h1d,0.070012302,0.102840843,0.055,0.043,1,,,,
Jup,0.000607124,0.102808699,0.059,0.035,1,,,,
Sar1a,5.00E-05,0.102793934,0.993,0.986,1,,,,
Man2a2,0.110519428,0.102683994,0.113,0.098,1,,,,
Timmdc1,5.33E-08,0.102660425,0.196,0.127,0.001178466,,,,
Tsix,0.007034411,0.102592962,0.218,0.183,1,,,,
Rnf13,0.003005104,0.102592603,0.955,0.93,1,,,,
