pathway	pval	padj	log2err	ES	NES	size	leadingEdge
IVANOVA_HEMATOPOIESIS_MATURE_CELL	0.0289656141293889	0.0967462702910322	0.352487857583619	-0.107445486191115	-1.59711879747312	150	Mrc1 Thbs1 Plcb1 Mtss1 Rbms1 Picalm Bmp2k Sdcbp Dleu2 Atp6v0a1 Slfn4 Smox Naaa Lgmn Pik3cb Riok3 Tent5c Rab43 Sertad2 Kdm7a Gpcpd1 Nr3c1 Atp8a1 Fbxo34 Tcp11l2 Plbd1 Usp25 Mxi1 Dck Ctsh Lims1 Wdr26 Snx13 Mkrn1 Slk Cast Ypel5 Hectd1 Nipa2 Slc7a8 Lamp2 Stx11 Relch Cpeb4 Agfg1 Mfsd14b Chp1 Mmp8 Cdk8 Mpp1
IVANOVA_HEMATOPOIESIS_STEM_CELL	0.806060606060606	0.861386024207759	0.0758886900606117	-0.0690073311110719	-0.74979597601298	80	Emp1 Arl4c Peak1 Slc23a2 Mycbp2 Ifih1 Jun Etv3 Nfkbia Tcf4 Nsd3 Maff Dusp5 Cdk14 Egr1 Iqgap2 Zcchc7
IVANOVA_HEMATOPOIESIS_STEM_CELL_AND_PROGENITOR	0.308411214953271	0.470379553690635	0.0833634065110386	0.0800157792787858	1.12499574850252	196	Pou2f2 Ptgds Ptprm Lgals3bp Limd2 Slc43a2 Eva1b Rbpms Tmem176b Vegfb Syngr1 Gstm1 Car13 Ccnd2 Pkp4 Fkbp3 Stox2 Hmox2 Dag1 Pcdh7 Arpp19 Fnbp1l Kifap3 Pdrg1 Kdelr1 Uba52 Faap20 Avpi1 Ptov1 Smim11 Cfap54 Nop14 Zbtb38 Aven Midn Prkce Scn8a Smarcc1 Rab38 Ccdc93 Ift22 Abcf2 Alkbh6 Gulp1 Plekha5 Nt5c3b Mxd4 Crem Dnajc2 Ube2e2 Sox4 Pgrmc1 Gmppb Stambp Ltbr Dusp12 Mylk Mlec Slc50a1 Qser1 Bod1 Saraf Dnajb9 Spg20 Bfar Ino80e Arhgef2 Cyp4v3 Slc4a1ap Deptor Sfr1 Meaf6 Sh2b3 Magi2 Tfpi Ccdc85b Cdk9 Ccar1 Zmym4 Abl1 Baz1b Tgif1 Mtf2 Abcc1 Armh3 Slc12a7 Prkch Enah Zfp787 Ppil4 Atxn3 Arhgap35 Calr Ylpm1 Nkapd1 Cd93 Lats2 Slc39a6 Msi2 Plekha3 Abi2 Dhdh Nrg4 Hp1bp3 Dicer1 Cbfa2t2 Irf2bpl Map1s Med11 Irak1 Insr Fchsd2 Arl3 Pdcd4 Snapc1 Il11ra1 Mprip Gadd45b
IVANOVA_HEMATOPOIESIS_STEM_CELL_LONG_TERM	0.0651828298887122	0.168363945403794	0.222056046145248	0.181221364926908	1.50567281053759	56	Rras Traf1 P2rx4 Wfdc17 Nmt1 Atxn1 Smyd3 Gaa Met Zbtb20 Zfp467 Bace2 Ift43 Mecom Phlpp1 Mboat2 Ext2 Dcaf6 Lrch4 Gla 4931406C07Rik Ufsp2 Ablim1 Prdm16 Large1 Rhoq
IWANAGA_CARCINOGENESIS_BY_KRAS_DN	0.723785166240409	0.799147058313264	0.0727141077934447	-0.0943967737038101	-0.824000079832909	49	Klf4 Trio Rgs2 4930523C07Rik Sp3 Gbp2 Gnaq Spon1 Tcf4 Plekhm2 Nsmce2 Irs2 Pten Tmem243 Ints12 Rcbtb2 Gtpbp1 Safb2 Itga6 Pign Trim14 Map3k14
IWANAGA_CARCINOGENESIS_BY_KRAS_PTEN_DN	0.301818181818182	0.463685995430069	0.152144922367565	-0.0759427795804335	-1.0990494963215	139	H2-Ab1 Klf6 Mmp12 Hip1 Picalm Klf4 Ptprc Cul3 Abtb2 Jun Rgs2 Arhgap18 Nsf Arhgap25 Vcl Arid4b Ston2 Amz1 Zfp52 Smchd1 Katnbl1 Xpr1 Ifit2 Tra2a Pmp22 Tnpo1 Sntb2 Scaf4 Dyrk1a Calcrl Tmem184b Plxdc2 Tmed5 Tspan13 Gsn Irf8 Psen1 Prdm1 Ssh2 Rictor
IWANAGA_CARCINOGENESIS_BY_KRAS_PTEN_UP	0.0464782780003405	0.133253579637805	0.321775918075361	-0.151973504965885	-1.55707314591688	67	Arg1 Ccl9 Ccr1 Senp2 Atp6v0a1 Arih1 Bhlhe40 Acap2 Egln3 Nt5c2 Pdgfc Wwp2 C3ar1 Wnk1 Akirin2 Lamp2 Pgk1 Rbm26 Mapk8 Lmnb1 Pkib Appl1 Oga Bcap29 Mib1 Atp6v1c1 Tcf7l2 Nucb2 Gmeb1 Hspa1b Top1 Xpo4 Rbm18 Bzw1 Litaf Supt20 Cr1l Odc1 Rab7 Zmynd11 Kif2a
IWANAGA_CARCINOGENESIS_BY_KRAS_UP	0.336434108527132	0.496240310077519	0.086794975677172	0.118471504079575	1.10987366500311	72	Ctsz Slc43a2 Chrac1 Gde1 Sdc1 Znrf1 Commd3 Peli1 Ldha Ift43 Nrcam Ldlr Derl2 Wbp1 Fam3c Soat1 Atrx Eif4g3 Bod1l Dhcr7 Adk Ifngr2 0610009B22Rik Pnn Aebp2 Ptgr2 Puf60 Cks1b Dennd5b Atp1a1 Stk38 Ipo8 Rnf181 Slc16a1 Vps35l Ppp2r5c Acbd5 Fuca2 Slc45a4 Tgoln1 Uri1 G2e3 Cdc40 Hipk3 Pafah1b3 Rnf13 Smarca5 Fam120a Inip Pex7 Osgin2 Gosr1 Atp6v1c1 B4galnt1 Magi3 Wdr91 Snx30 Tgfbr2 Emb Camta1 Mtus1 Crebbp
JACKSON_DNMT1_TARGETS_UP	0.282747603833866	0.4483169220619	0.0985499803531691	0.139959086549618	1.1290145568847	53	Slpi Nfe2l2 H2-K1 Irf7 Reep5 Hsph1 Cryab Bag1 Trim28 Ctnnb1 Hspb1 H2-D1 Traf3 Il10rb Eng Tsg101
JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_DN	0.000558609096531433	0.006428909402373	0.477270815362862	-0.331715380915146	-2.33778514722962	34	Thbs1 Dusp1 Atf3 Zfp36 Fos Klf2 Plk2 Sat1 Egr2 Btg2 Bcl6 Chka Egr1 Tiam1 Ctsh Id1 Itpr1 Nrp1
JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_UP	0.131795716639209	0.269957856712824	0.155241966228839	0.197540171034953	1.33527716996002	36	Slpi Pla2g7 Ctsz Rras Irf7 Sdc1 S100a8 Ifitm3 Phgdh Serpinh1 Asns Rnaset2b Galk1 B2m Cd68 Sparc Bcl3
JEPSEN_SMRT_TARGETS	0.160291438979964	0.3092714339011	0.147331213699377	0.275694213370152	1.32650294966851	17	Abca1 Apoe Igf2r Esd Kdm6b Hmox1 Srxn1 Metrn Sparc Pdlim4 Timp1
JIANG_AGING_CEREBRAL_CORTEX_DN	0.00449368718621931	0.0261006390453463	0.407017918923954	0.307720793038355	2.06381023788457	34	Apoe Ptgds Atp6v1e1 Tubb4b Hsp90ab1 Atp6ap1 Pfn1 Pld3 Dctn1 Mgll Dad1 Arpp19 Eif4g3 Eef1g Tubb3 Nme1 Rab14
JIANG_AGING_CEREBRAL_CORTEX_UP	0.219895287958115	0.376915317738604	0.120433371642259	0.237197225469579	1.23697792817445	20	Prdx1 Selenop Marcks Actb Fkbp3 Rdx
JIANG_AGING_HYPOTHALAMUS_DN	0.032105324812599	0.103717778429174	0.321775918075361	0.322017391058662	1.71481686704767	21	Apoe Ptgds Atp6v1e1 Atp6ap1 Sars Pld3 Stip1 Ddb1 Cpe
JIANG_AGING_HYPOTHALAMUS_UP	0.661211129296236	0.754036292920733	0.0554793308704233	0.134166759790927	0.834972199347578	29	Prdx1 Actb Tpp1 Tbca Psma6
JOHANSSON_BRAIN_CANCER_EARLY_VS_LATE_DN	0.0130689808755038	0.0583678388901984	0.380730400722792	0.322695736815173	1.84485658477359	24	C3 Pla2g7 Itm2b Ctsd Selenop Grina Cryab Gstm1
JOHANSSON_GLIOMAGENESIS_BY_PDGFB_UP	0.626602564102564	0.729018074886723	0.0570059526582387	0.118544537279993	0.875872807438027	43	Marcksl1 Tmem176b Marcks Cd63 Ccnd2 Mki67 Ppp1r14b Ost4 Tpm1 Eef1a1
KAMIKUBO_MYELOID_CEBPA_NETWORK	0.00176495110154398	0.0134592529580327	0.45505986738723	0.435869355482845	2.16185626662637	18	Lyz2 Adgre1 Lcn2 Hp Fpr2 Cybb S100a8 Pgd
KAMIKUBO_MYELOID_MN1_NETWORK	0.535714285714286	0.659029509559435	0.0813027345384498	-0.194128258560142	-0.922058407422075	15	Tcf4 Lrrc58 Sgk1 Mtus1 Vamp4 Tpm4 Mllt3 Gas2l1 Cpne3
KAMMINGA_EZH2_TARGETS	0.39622641509434	0.551311071932764	0.0833634065110386	0.203251801929432	1.04322482940274	19	Mki67 Top2a Nap1l1 Prc1 Ppp1cc Ipo5 Dbf4 Mcm2 Rrm1 Mcm3 Gmnn Rfc1 Topbp1 Setdb1 Xpo1
KAMMINGA_SENESCENCE	0.390158172231986	0.55034787281944	0.0855356947987884	0.214309321625558	1.06294683056904	18	Rabac1 Mki67 Arhgef10l Hmgn1 Arid1a Kpnb1 Ddx54 Ccar1 Elavl1 Vps18 Cdyl2 Clk2 Ezh2
KARLSSON_TGFB1_TARGETS_DN	0.00687670324263648	0.0360223567055864	0.407017918923954	0.165505315344713	1.92914806993244	120	Itm2b Ctsz Grn Vamp8 Tnip1 Timp2 Ctsb Tle5 Slc48a1 Dnaja1 Plxnb2 Tmem176b Grina Atp6v1f Tecr Tpi1 Wbp2 Gstm1 Ctsa Gabarap Man2b1 Gaa Iah1 Id3 Met Slc44a1
KARLSSON_TGFB1_TARGETS_UP	0.158989598811293	0.308580967983981	0.132147260608774	0.132613258232372	1.3225151566879	84	Mmp14 Abracl Hsph1 Esd Eif3b Eif2s2 Cdc34 Cacybp Tpm1 Phgdh Rwdd1 Ptk2 1110038B12Rik Actn1 Zc3h15 Msn Chd3 Pelo Tcp1 Mrto4 Abce1 Cct3 Usp10 Kpnb1 Rsl1d1 Pprc1 Set Uchl3 Eif2s1 Ipo5 Lyar 1700037H04Rik Mak16 Cct2 Eif4g1 Timp1 Sltm Mybbp1a Eif2b3 Ddx21 Nin Srm Nip7 Nae1 Cct8 Rrm2 Ncl Rpf2 Baz1a Snhg1 Mphosph6 Cdk17 Naa15 Nolc1 Pum3 Gtpbp4 Gnl3 Ppa1 Ybx3 Eif3a Btbd10
KASLER_HDAC7_TARGETS_1_UP	0.420289855072464	0.566279960981048	0.0714786287425507	0.0962583977242232	1.02182638572746	98	Dusp2 Sema4d Cuta Gpr65 Hmg20b Slco3a1 Erp29 Clptm1 2510009E07Rik Rnf187 Lrp10 Mepce Cyfip2 Dad1 Pin1 Nr4a1 Rab1b Ap1m1 Wdr82 St3gal5 Usp19 Dapk3 Farsa Shkbp1 Sbf1 Trim35 Tgfb1 Cdk2 Pbx3 Dgkz Ubxn6 Hacd3 Galc Arhgef2 Tmem37 Pigt Ppp5c Gpaa1 Hspbp1 Hdac5 Ncoa2 P2rx7 Fryl Tesk1 Zbtb7b Ddx21 Gltp U2af2 Elk3 Wsb2
KATSANOU_ELAVL1_TARGETS_DN	0.113924050632911	0.246523488676773	0.211400189384923	-0.190558060873814	-1.40427830850006	36	Eps8 Ifi204 Fmnl2 Cd44 Fgl2 Dusp10 Tiam1 Iqgap2 Fus Plxnc1 Pde8a Tgfbi Sgk1 Clmp Ttc7 Tep1 Cxcr4 Tcof1 Ddx23 Nolc1 Hmgn5 Mphosph6 Nedd4l Nsrp1 Ube2c Rnf181 Igfbp4 Dkc1 Stk38 St3gal6 Ccnyl1
KATSANOU_ELAVL1_TARGETS_UP	0.000678057828154257	0.00703686728015997	0.477270815362862	0.278934193862437	2.3175172077381	56	Lyz2 Apoe Igf2r Nupr1 Mpeg1 Renbp Cd52 Lpcat2 Il2rg Cybb C1qa Myl12b C1qc Esd Fas C1qb Slc7a7 Myo7a Ebpl Aga Ier3ip1 Tmem223 Eng Nfkbie Sytl2
KHETCHOUMIAN_TRIM24_TARGETS_UP	0.00447770167088489	0.0261006390453463	0.407017918923954	-0.308790668556233	-2.05150537553777	30	Spp1 Emp1 Lgals3 Junb Fos Cdkn1a App Cd44 Btg2 Rai14 Vim Hbegf Laptm5 Egr1
KIM_GLIS2_TARGETS_UP	6.84035190796605e-05	0.00159750718517291	0.538434096309916	-0.333185487364261	-2.66417753008122	43	Ccl6 Ccl2 Cd74 H2-Ab1 H2-Eb1 H2-Aa Fcgr3 Lsp1 Ccr2 S100a6 H2-DMa Ccl8 S100a4 Adam8 Isg15 H2-DMb1 Irf1 Pf4 Spon1 Vim Casp4
KOHOUTEK_CCNT1_TARGETS	0.00558201477057118	0.0307829956073255	0.407017918923954	0.424454276948875	1.93644750211453	15	Cxcl16 Capns1 Ahnak2 Sqstm1 Cryab Anxa5 S100a1
KONG_E2F3_TARGETS	0.326478149100257	0.487976006855184	0.119887845115423	-0.160848321093823	-1.11106059245928	33	F13a1 Dck Fam111a Srsf7 Hlx Mapk8 Nup50 Taf1d Med1 Lmnb1 Rbbp8 Spdl1 Hmgb2 Ezh2 Ncapg2 Nasp Hjurp Ube2c Mcm3 Pclaf Usp1 Gas5 Tyms E2f3 Cdca3 Rprd1b Incenp Psip1 Prc1 Cenpf
KUMAR_TARGETS_OF_MLL_AF9_FUSION	0.486631016042781	0.61709657124882	0.0603786357920401	0.0732224346929755	0.969046271108585	166	Ccl5 Pla2g7 Nfe2l2 Lgals3bp Wfdc21 Ctsb Il1rn Spic Gng12 Rbpms AW112010 Kmt5a Naglu Marcks Slc31a1 Gusb Tpi1
KUNINGER_IGF1_VS_PDGFB_TARGETS_DN	0.0401588962415812	0.121813377014483	0.321775918075361	-0.307723031829472	-1.57022903311746	17	Eps8 Cd53 Arhgap6 Errfi1 Dusp6 B3gnt2 Cped1 Fbxo32 Atp1a3 Cdkn2d Lbh Ado Nceh1
LANDIS_BREAST_CANCER_PROGRESSION_DN	0.129675810473815	0.267217984450638	0.195789002148949	-0.228493544599698	-1.34263868212775	24	Crip1 Mrc1 S100a6 Plac8 Klf4 Man1a Ahnak Ppp2r5a Nrp1 Pde8a Tgfbi Fez2 Derl1
LANDIS_BREAST_CANCER_PROGRESSION_UP	0.608040201005025	0.712239357708081	0.0605092988656667	0.149506136325778	0.883536080669637	26	Lcn2 Rnf149 Strbp Ell2 Serp1 Srp19 Cd82 Ss18l2 Dap Sox4
LANDIS_ERBB2_BREAST_PRENEOPLASTIC_DN	0.708830548926014	0.790645816264738	0.0702812841717392	-0.154461762065029	-0.815378838354519	19	Cd36 Sowahc Npc2 Atp1b3 Ppp2r5a Gbe1 Zfp703
LANDIS_ERBB2_BREAST_TUMORS_324_DN	0.214626391096979	0.369579392349791	0.115734447701689	0.144427863863378	1.18766200963372	55	Nr1h3 Cfp Cyb5a Ptges AW112010 Marcks Lyl1 Rab34 Bnip2 Gyg Abhd5 Cd151 Sorbs1 Sptbn1 Rragc Dgat1 Idh1 Dnajc8 Snrk Slc27a1 Ywhag Mocs2 Aplp2 Dhrs7 St3gal6
LANDIS_ERBB2_BREAST_TUMORS_324_UP	0.167400881057269	0.318620391705069	0.127505315300183	0.127732042527607	1.33323123354644	94	Lcn2 Lmo4 Atp6v1e1 Igf2r Abracl Rnf149 Pitpnc1 Rab10 Sptan1 Knop1 Itpr2 Mien1 Strbp Tpd52l1 Ell2 Nr4a1 Serp1 Slc29a1 St3gal5 Dok1 Zc3h15 Lman1 Srp19 Cd82 Rtkn Ss18l2 Mapk8ip1 Inppl1 Dap Tceal9 4931406C07Rik Stk39 Sox4 Serinc3 Ndst1
LANDIS_ERBB2_BREAST_TUMORS_65_UP	0.456483126110124	0.600607493391373	0.0776798560117236	0.20883302215175	0.991258001357632	16	Igf2r Itpr2 Tpd52l1 Serp1 Dap Ndst1 Mydgf Rab18 Lxn Wsb2
LANG_MYB_FAMILY_TARGETS	0.613466334164589	0.716349750623441	0.0799858801499946	-0.148377600750764	-0.871873674498312	24	Cd53 Iqgap1 Fam107b Tfec Emilin2 Ppp3ca Slc20a1 Zdhhc21 Psd4 Api5 Casp6
LAZARO_GENETIC_MOUSE_MODEL_HIGH_GRADE_LARGE_CELL_NEUROENDOCRINE_LUNG_CARCINOMA_DN	0.130177514792899	0.267759622170349	0.213927855492356	-0.11983670881145	-1.31731252950581	81	St8sia4 Rhob Hilpda Klf2 Arhgap15 Ehd4 Mtmr10 Arhgap6 Prr5l Dock4 Map3k20 Grk5 Ahnak Xdh Ifi205 Napsa Dach1 Ankrd44 Cemip2 Phactr2 Wdfy4 Etv5 Kif13a Gsn Parvb Smad7 Hbb-bs Ttc7b Syne1 Dennd5a Tns1 Macf1 Cd40 Arl15 Hmbox1 Hyal1 Lbh Impdh1 Numb Acvrl1 Tmem140 Cep85l Nod1 Klhl5 Dusp3 Gab3 Tacc1
LAZARO_GENETIC_MOUSE_MODEL_HIGH_GRADE_LARGE_CELL_NEUROENDOCRINE_LUNG_CARCINOMA_UP	0.0631276901004304	0.164190581444507	0.213927855492356	0.13511572880834	1.52257509758774	113	Ptges Fmn1 Mif Sdc1 Tpi1 Mki67 Rfc2 Brca1 Bex3 Pmf1 Cpe Pkm Rangap1 Spats2 Birc5 Smarcc1 Itgav Tubg1 Ccdc34 Top2a Tnip3 Tceal9 Cdk2 Cenpf Spc24 Stk39 Prc1 Slc7a5 Ankrd28 Incenp Rfc4 1500011B03Rik Rfc3 Ssrp1 Cdca8 Ipo5 Mcm7 Prim2 Dnmt1 Zfas1 Dbf4 Vill Lig1 Tyms Mcm2 Atp1a1 Dtymk Rrm1 Usp1 Ppil1 Rnf128 Pola1 Rbbp7 Pclaf Mcm3 Cnot9 Rnaseh2b Rfwd3 Rpa1 Mcm6 Ube2c Cdk5rap2 Ints7 Hjurp Tuba1c Psat1 Slbp Cks2 Nasp Ncapg2 Slc7a1 Ezh2
LAZARO_GENETIC_MOUSE_MODEL_HIGH_GRADE_SMALL_CELL_NEUROENDOCRINE_LUNG_CARCINOMA_UP	4.34745485203304e-05	0.00118865777783635	0.557332238758646	0.192314254515674	2.58210102952488	174	St18 Gdpd1 Prkcb Sumo3 Mif Tpi1 Tubb5 Tsn Scrn1 Pttg1 Mki67 Nrcam Cbx5 Hmgn3 Bex3 Strbp Klhdc10 Pmf1 Coprs Wdr6 Pkm Rangap1 Sae1 Atp6v0e2 Pmm1 Pcm1 Pcbp4 Scn8a Birc5 Smarcc1 Nucks1 Larp7 Maged1 Tmem199 Ttc3 Nme1 Tubg1 Mboat2 Lockd Top2a Mapk8ip1 Hes6 Stmn1 Tmx1 Rbfox2 Cdk2 Cenpf Prc1 Psip1 Xrcc6 Ankrd28 Incenp Rfc4 1500011B03Rik Ralgps1 Tmpo Thoc7 Trim37 Ssrp1 Suz12 Cdca8 Ipo5 Mcm7 Prim2 Srsf1 Dnmt1 Nono Slc38a2 Rcc2 Dbf4 Meaf6 Lig1 Jpt1 Tyms Mcm2 Rrm1 Ahi1 Foxk2 Ncbp1 Rnf126 Mtf2 Trmt6 Sqle Pola1 Ilf3 Mcm3 Umps Cnot9 Rnaseh2b Rpa1 Mcm6 Gmps Ube2c Cdk5rap2 Ints7 Tubgcp2 Acvr1 Gtf2a2 Klhdc2 Prmt1 Dot1l Orc2 Hjurp Ubr7 Rev1 Rif1 Abi2 Myef2 Uba2 Slbp Dhx9 Cks2 Nasp Gmnn Ncapg2 Ran Ezh2 Ckap5 Cdk4 Supt16 Kdm1a Rfc1
LEE_AGING_CEREBELLUM_DN	0.0410929682074372	0.123307723549719	0.321775918075361	0.253838269670127	1.57973479150372	29	Ptprm Mertk Smarca4 Nfkb2 Rab4b Snca Serpinh1 Oca2 Wwox Dpysl2 Farsa Galk1 Crem Ddx47 Saysd1 Cars Nos2 Actr1a Dhx38
LEE_AGING_CEREBELLUM_UP	0.0225753087811367	0.0837977521313054	0.352487857583619	0.215747638618502	1.68011775783789	50	Ctsz Apoe Lgals3bp Rhog Ctsd Irf7 Slc11a1 Mpeg1 C1qa C1qc C1qb Hspa8 Wdfy3
LEE_AGING_MUSCLE_DN	0.727592267135325	0.799147058313264	0.0543434390269162	0.157819291924045	0.782763506882881	18	Pla2g7 Calm3 Hspa8 Psmc3 Zfp637 Eef1g
LEE_AGING_MUSCLE_UP	0.657940663176265	0.751836374536793	0.0587185879555941	0.163462696950109	0.852454103570812	20	Arhgdib Hspa8 Dctn1 Plagl1 Hspb1
LEE_AGING_NEOCORTEX_DN	0.0201248585688051	0.0769964725448139	0.352487857583619	0.303076295298667	1.75341214987824	25	Fabp5 Nedd8 Ly9 Ecm1 Hspa8 Wdfy3 Hcfc1 Strbp Map2k5 St3gal5 Eef1g Gspt1 Papola Usp32 Vrk3
LEE_AGING_NEOCORTEX_UP	0.119086460032626	0.253312944395777	0.163180127180689	0.174342884664703	1.35768149470133	50	Ctsz Lgals3bp Rhog Ctsd Mpeg1 Eef2 Cryab C1qa Tubb5 C1qc
LEE_BMP2_TARGETS_DN	0.00283366277327337	0.0186855056990556	0.431707695803346	0.104639022993299	2.01026978322297	413	Cd38 Tnfaip2 Tank Irak3 Kmt5a Rab32 Slc11a2 Hsph1 Ass1 Fkbp4 S100a8 Pgd Id3 Hspa8 Hnrnpab Adi1 Phf5a Fkbp3 Tmem97 Ldha Knop1 Akirin1 Cct7 Brca1 Eif2s2 Slc16a3 Tfrc Stip1 Ldlr Prpf4b Pbdc1 Pole4 Lsm6 Nifk Cacybp Phgdh Pin1 Esf1 Nhp2 Cdk2ap1 Tnfaip8 Szrd1 Rxra Ruvbl1 Znrd2 Ddx18 Asns 2810004N23Rik Wdr74 Gps1 Psmd6 Cyp51 Nucks1 Dctpp1 Snu13 Lman1 Akr1b3 Tmem199 Scoc Nars Smc3 Lsm3 Nme1 Dnph1 Pdcd11 Chordc1 Ahsa2 Hmgcr Sh3pxd2a Dnajc2 Gspt1 Tmx1 Parp1 Usp39 Nudcd2 Gla Acp1 Kcmf1 Hsp90aa1 Mrto4 Abce1 Mlec Cct3 Xrcc6 Usp10 Ddx27 Zfp131 Lsm8 Kpnb1 Mtrex Ywhag Psmd12 Actl6a Ahsa1 Nup35 Ruvbl2 Mtap Pprc1 Psme3 Polr1a Farsb Nop2 Vma21 Uchl3 Dnajb1 Pcmt1 Ints11 Usp53 Eif2s1 Pnn Txnl1 Nol11 Pno1 Clns1a Lyar Wdr12 Ccnyl1 Mak16 Mcm7 E2f3 Srsf1 Dnmt1 AI506816 Eloc Ehd1 Rcc2 Dbf4 Pank3 Nomo1 Yaf2 Ddx56 Wdr18 Bop1 Amd1 Dhx29 Lsm12 Mphosph10 Cnn3 Iars Noc2l Tmem33 Hdac2 Gas5 Cks1b Mcm2 Rrm1 Usp1 Med8 Pinx1 Foxk2 Utp4 Psmd5 Cinp Ncbp1 Tmem30a Mybbp1a Eif2b3 Ddx21 Srpk1 Gtf2e2 Trmt6 Larp4 Sqle Enah Pgam1 Tmem167 Pclaf Rnps1 Dkc1 Mcm3 Srsf10 Nin Umps Wdr36 Gart Zcchc10 Sinhcaf Uchl5 Nop56 Rpa1 Mcm6 Gmps Snrpa1 Srm Nip7 Leo1 Thumpd3 Nop16 Rrp15 Rrs1 Slc16a1 Strap Prmt1 Hk2 Prpf40a Pafah1b2 Dot1l Ebna1bp2 Slc39a6 Orc2 Bccip Nup88 Rwdd4a Pfdn4 Cct8 Rif1 Rrm2 Eif4e Ssb Lrrc59 Mettl16 Eif3j1 Uba2 Mgat2 Psat1 Orc4 Otud6b Rpf2 Cops8 Exosc1 Tdg Usp24 Rnd3 Nasp Baz1a Gmnn Ppan Trappc4 Atic Nmd3 Cct6a Wdr43 Slc7a1 Ran Ezh2 Tardbp Pspc1 Snhg1 Luc7l Carnmt1 Naf1 Ciapin1 Nt5c3 Zfp148 Rbmxl1 Tgoln1 Topbp1 Ppid Ctnnbl1 Uba3 Hmgn5 Mdn1 Naa15 Nolc1 Odc1 Cdyl Sf3b3 Map3k7 Pum3 Exosc8 Utp6 Eif1a Purb Nvl Gtpbp4 Gnl3 Flvcr1 Pa2g4 Xpo1 Secisbp2 Cdc73 Rad23b Ube2f Ppa1 Atad2 Bzw1 Ranbp1 Tcof1 Tcerg1 Brix1 Cdt1 Lpgat1 G3bp1 Hspa4 Smarca5 Dnajb11 Zwint Nup93 Snhg3 Xpo4 Prmt3 Nup205 Rrp1b Naa25 Ptgs2 Rbm3 Ubqln1 Nop58 Larp1 Ccdc86 Sdad1 Gmfb Arl6ip6
LEE_BMP2_TARGETS_UP	2.06191422961671e-06	0.000118484159107907	0.627256739718528	0.174338859740297	2.97781424876957	298	Lyz2 Lcn2 Pltp Abca1 Blvrb Itm2b Apoe Grn Grcc10 Slc31a2 Selenow H2-K1 Rras Ctsd Timp2 Igf2r Hexa Gdpd1 Ctsb Sash1 Nupr1 Eva1b Msrb1 Slc48a1 Rbpms P2rx4 Wfdc17 Ahnak2 Ddrgk1 Smpdl3a Renbp Uap1l1 Plxnb2 Tmem176b Nenf Selenom Grina Naglu Tmem176a Glmp Tmem86a Gstm1 Coro1a Trps1 Ckb Ctsa Pbxip1 Hvcn1 Ypel3 Aebp1 Gaa Vat1 Frmd4b Anxa6 S100a1 Pik3r3 Plod1 Rgs3 Fuom Scrn1 Slc7a7 Use1 Tcn2 Tmcc3 Enpp2 Itpr2 Lrp10 Zfp467 Bace2 Meis2 Fbln5 Map1lc3a Wls Ppp1r14b Ampd3 Cyfip2 Mylip Mlph Mecom Cpe Rab20 Creg1 Faap20 Ppp1r9a H2-D1 Tef
LEE_CALORIE_RESTRICTION_MUSCLE_DN	0.0744500846023689	0.187547291773608	0.213927855492356	0.252812412837884	1.46261638797301	25	Hsph1 Sars Pebp1 Eif1b Relb Rit1 Ddb1 Hmgn1 Rad50 Kpnb1 Mapkapk2 Ly6e Ddx56 Amd1 Ezh1 Dgcr2 Ss18 Irak1 Eif4ebp2
LEE_CALORIE_RESTRICTION_MUSCLE_UP	0.736474694589878	0.806947643761101	0.053457214108991	0.151433863355248	0.789724020497248	20	Fabp5 Actb Psmc3 Eef1g Prkcsh Ssr4 Ctnna1 Tkt Aldoc Ddit3 Slc1a5 Cltb
LEE_CALORIE_RESTRICTION_NEOCORTEX_DN	0.16260162601626	0.312652526182209	0.137250779610133	0.199691817632235	1.28176730225797	31	Nfe2l2 Gng12 Eef2 D8Ertd738e Calm3 Eef1d Slc6a8 Tfrc Rap2b
LEE_CALORIE_RESTRICTION_NEOCORTEX_UP	0.0414660344054805	0.123556668571133	0.321775918075361	0.278470729532056	1.61105955207019	25	Atp13a2 Fabp5 Anxa6 Relb Zfp771 Zbtb7a Stk39 Kmt2b Bag6 Pura Tyms Naa80 Klc1 Eif2ak3 Khdrbs1 Umps 2510039O18Rik Pole3
LEE_TARGETS_OF_PTCH1_AND_SUFU_DN	0.840480274442539	0.885506003430532	0.0466015072985992	0.136039653492791	0.698246918156715	19	Ptgds Slc13a3 Dynlt3 Dclk1 Hmgcs1 Pdxk Ablim1 Hk1
LEE_TARGETS_OF_PTCH1_AND_SUFU_UP	0.0564784053156146	0.150743553235248	0.245041785430996	0.264207883052846	1.49337053998166	23	Lyz2 Kmt5a Gpnmb C1qa Frmd4b C1qb Ccnd2
LEIN_ASTROCYTE_MARKERS	0.000167691876616006	0.00280882486494677	0.518848077743792	0.496635187479625	2.46324702293104	18	Lyz2 Pla2g7 Apoe Cd63 C1qa Stab1 Id3 Mlph Plpp3 Mt1 Magi1 Sparcl1 Itgb5
LEIN_CEREBELLUM_MARKERS	0.27039627039627	0.434884102029009	0.126253987849115	-0.208218047837207	-1.13509607775939	20	Btg1 Dhrs3 Chd7 Traf6 Hbegf Pepd Cnksr3 Lrch1 Dnajc3 Fez2
